Time,CounterValue,Unit,EventName,RunTime,Percentage
# started on Sat Feb  7 23:33:11 2026

60.059979440,744996378,,cpu_atom/cycles/,112512219,56.00,,
60.059979440,1139618266,,cpu_core/cycles/,139332093,57.00,,
60.059979440,489856032,,cpu_atom/instructions/,112512219,56.00,0.66,insn per cycle
60.059979440,684415890,,cpu_core/instructions/,139332093,57.00,0.60,insn per cycle
60.059979440,<not supported>,,cpu_atom/L1-dcache-load-misses/,0,100.00,,
60.059979440,6270940,,cpu_core/L1-dcache-load-misses/,139332093,57.00,,
60.059979440,1625106,,cpu_atom/cache-misses/,112512219,56.00,,
60.059979440,2633972,,cpu_core/cache-misses/,139332093,57.00,,
60.059979440,12052,,context-switches,251844312,100.00,,
120.092903284,629619910,,cpu_atom/cycles/,112463039,68.00,,
120.092903284,994325655,,cpu_core/cycles/,115184971,57.00,,
120.092903284,628510483,,cpu_atom/instructions/,112463039,68.00,1.00,insn per cycle
120.092903284,1113766988,,cpu_core/instructions/,115184971,57.00,1.12,insn per cycle
120.092903284,<not supported>,,cpu_atom/L1-dcache-load-misses/,0,100.00,,
120.092903284,4214597,,cpu_core/L1-dcache-load-misses/,115184971,57.00,,
120.092903284,1212360,,cpu_atom/cache-misses/,112463039,68.00,,
120.092903284,1616628,,cpu_core/cache-misses/,115184971,57.00,,
120.092903284,8916,,context-switches,227648010,100.00,,
180.153033709,4648320314,,cpu_atom/cycles/,343036282,28.00,,
180.153033709,6719114002,,cpu_core/cycles/,1074156984,76.00,,
180.153033709,1977558073,,cpu_atom/instructions/,343036282,28.00,0.43,insn per cycle
180.153033709,3101238090,,cpu_core/instructions/,1074156984,76.00,0.46,insn per cycle
180.153033709,<not supported>,,cpu_atom/L1-dcache-load-misses/,0,100.00,,
180.153033709,17763406,,cpu_core/L1-dcache-load-misses/,1074156984,76.00,,
180.153033709,921553,,cpu_atom/cache-misses/,343036282,28.00,,
180.153033709,906286,,cpu_core/cache-misses/,1074156984,76.00,,
180.153033709,195531,,context-switches,1417193266,100.00,,
240.213095969,124936185904,,cpu_atom/cycles/,1888236463,5.00,,
240.213095969,191671063949,,cpu_core/cycles/,37965199733,95.00,,
240.213095969,54393589250,,cpu_atom/instructions/,1888236463,5.00,0.44,insn per cycle
240.213095969,82093877272,,cpu_core/instructions/,37965269284,95.00,0.43,insn per cycle
240.213095969,<not supported>,,cpu_atom/L1-dcache-load-misses/,0,100.00,,
240.213095969,504661459,,cpu_core/L1-dcache-load-misses/,37965311791,95.00,,
240.213095969,4045674,,cpu_atom/cache-misses/,1888236463,5.00,,
240.213095969,2504741,,cpu_core/cache-misses/,37965368944,95.00,,
240.213095969,5510720,,context-switches,39853652805,100.00,,
254.379295679,10117652794,,cpu_atom/cycles/,42317666,1.00,,
254.379295679,40673623588,,cpu_core/cycles/,8620679731,99.00,,
254.379295679,3799350452,,cpu_atom/instructions/,42317666,1.00,0.38,insn per cycle
254.379295679,16319491693,,cpu_core/instructions/,8620610180,99.00,0.40,insn per cycle
254.379295679,<not supported>,,cpu_atom/L1-dcache-load-misses/,0,100.00,,
254.379295679,114269757,,cpu_core/L1-dcache-load-misses/,8620567673,99.00,,
254.379295679,68210,,cpu_atom/cache-misses/,42317666,1.00,,
254.379295679,424701,,cpu_core/cache-misses/,8620510520,99.00,,
254.379295679,1411339,,context-switches,8662780788,100.00,,
